,program,.,var,;,:,identifier,integer_type,boolean_type,begin,end,:=,read,write,if,then,else,while,do,+,-,*,integer,TRUE,FALSE,>,>=,=,<=,<,$,PROGRAM,BLOCK,VAR_DECLARATION_SECTION,VAR_DECLARATION',VAR_DECLARATION,IDENTIFIER',IDENTIFIER,TYPE,COMPOUND_STATEMENT,STATEMENT',STATEMENT,SIMPLE_STATEMENT,ASSIGNMENT_STATEMENT,READ_STATEMENT,WRITE_STATEMENT,STRUCTURED_STATEMENT,IF_STATEMENT,IF,THEN,ELSE,WHILE_STATEMENT,DO,EXPRESSION,ARITHMETIC_EXPRESSION,TERM,FACTOR,LITERAL,INTEGER_LITERAL,BOOLEAN_LITERAL,BOOLEAN_EXPRESSION
54, , , , , , ,s75,s76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,74, , , , , , , , , , , , , , , , , , , , , , 
55, , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, , , , , , , , , ,r14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, , , ,r20, , , , , ,r20, , , , , ,r20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, , , ,r33, , , , , ,r33, , , , , ,r33, , ,s70,s71, , , , ,s65,s66,s67,s68,s69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59, , , ,r34, , , , , ,r34, , , , , ,r34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, , , ,r27, , , , , ,r27, , , , , ,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20, ,77,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
62, , , , , , , , , , , , , , , ,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
63, , , ,r31, , , , , ,r31, , , , , ,r31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
64, , , , , ,s3, , ,s7, , ,s22,s23,s26, , ,s25, , , , , , , , , , , , , , , , , , , ,21, ,20, ,78,13,15,16,17,14,18,24, , ,19, , , , , , , , , 
65, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,79,48,49, ,51, , 
66, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,80,48,49, ,51, , 
67, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,81,48,49, ,51, , 
68, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,82,48,49, ,51, , 
69, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , ,83,48,49, ,51, , 
70, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , ,84,49, ,51, , 
71, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , ,85,49, ,51, , 
72, , , , , ,s3, , , , , , , , , , , , , , , ,s40, , , , , , , , , , , , , , ,50, , , , , , , , , , , , , , , , , , ,86, ,51, , 
73, , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
74, , , ,r6, , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
75, , , ,r10, , , , ,r10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
76, , , ,r11, , , , ,r11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
77, , , ,r30, , , , , ,r30, , , , , ,r30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
78, , , ,r32, , , , , ,r32, , , , , ,r32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
79, , , ,r48, , , , , ,r48, , , , ,r48,r48, ,r48,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
80, , , ,r49, , , , , ,r49, , , , ,r49,r49, ,r49,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
81, , , ,r50, , , , , ,r50, , , , ,r50,r50, ,r50,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
82, , , ,r51, , , , , ,r51, , , , ,r51,r51, ,r51,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
83, , , ,r52, , , , , ,r52, , , , ,r52,r52, ,r52,s70,s71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, , , ,r35, , , , , ,r35, , , , ,r35,r35, ,r35,r35,r35,s72, , , ,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
85, , , ,r36, , , , , ,r36, , , , ,r36,r36, ,r36,r36,r36,s72, , , ,r36,r36,r36,r36,r36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
86, , , ,r38, , , , , ,r38, , , , ,r38,r38, ,r38,r38,r38,r38, , , ,r38,r38,r38,r38,r38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
