,program,var,:,integer,boolean,begin,end,:=,read,write,if,then,else,while,do,+,-,*,il,TRUE,FALSE,<,>,<=,>=,=,$,PR,BL,VDS,VDM,VD,ID,IDS,TY,CS,ST,SiS,AS,RS,WS,SS,IS,EX,AE,T,F,LI,BE
57, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , ,67,44,45, , 
58, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , ,68,44,45, , 
59, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , ,69,44,45, , 
60, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , ,70,44,45, , 
61, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , ,71,44,45, , 
62, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , , ,72,45, , 
63, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , , ,73,45, , 
64, ,r10,r10, , ,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,r10,s47,r10,r10,r10,r10,r10,r10,r10, , , , , , ,46,3, , , , , , , , , , , , ,74, , 
65, ,r10,r10, , ,s10,r16,r16,s24,s25,s27,r10,s28,s26,r10,r10,r10,r10, ,r10,r10,r10,r10,r10,r10,r10, , , , , , ,23,3, ,22,75,16,18,19,20,17,21, , , , , , 
66, , , , , ,r29,r29,r29,r29,r29,r29, ,r29,r29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, , , , , ,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,s62,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
68, , , , , ,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,s62,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
69, , , , , ,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,s62,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , ,r47,r47,r47,r47,r47,r47,r47,r47,r47,r47,s62,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
71, , , , , ,r48,r48,r48,r48,r48,r48,r48,r48,r48,r48,s62,s63, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
72, , , , , ,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,r32,s64, , , ,r32,r32,r32,r32,r32, , , , , , , , , , , , , , , , , , , , , , , 
73, , , , , ,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,r33,s64, , , ,r33,r33,r33,r33,r33, , , , , , , , , , , , , , , , , , , , , , , 
74, , , , , ,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35,r35, , , ,r35,r35,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , , , 
75, , , , , ,r27,r27,r27,r27,r27,r27, ,r27,r27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
